zeolite,"kH,C18",SB0,SL0,PHC0,RHC0,QC18,SB3,SL3,PHC3,RHC3
ATO,6.2e-1,65,6400,6.3e-3,2,95,21,0.58,3.5,1
MRE,3.6e0,23,14000,6.1e-3,3,54,51,1.1,2.6,2
AFO,1.4e-4,330,21,2.2e-3,5,48,27,1,1.3,3
CAN,1.4e0,45,7100,9.1e-3,1,75,12,0.91,0.97,4
AEL,4.5e-4,7.9,280,1.3e-5,94,65,11,0.81,0.86,5
MTT,7.1e-3,70,110,4.3e-3,4,48,18,1.1,0.81,6
WEN,1.4e-5,27,1.8,2.0e-4,47,62,11,1,0.67,7
FER,9.5e-4,110,88,1.2e-3,7,32,32,1.5,0.65,8
TON,4.4e-3,8,79,4.4e-4,19,55,11,1,0.62,9
EUO,4.3e-3,1.4,8.6,6.8e-4,12,76,1.9,0.29,0.5,10
MTW,2.5e0,5.5,9000,1.5e-3,6,40,2.8,1.4,0.078,28
GON,2.3e0,4.6,10000,1.0e-3,8,35,2.7,1.3,0.071,34
VET,1.2e0,4.2,5400,9.3e-4,9,28,2.1,1.5,0.039,47
ITH,5.2e-3,5.5,34,8.3e-4,10,40,1.4,1.5,0.036,52
8113534,2.4e-3,6.1e5,5.0e2,2.9e0,18,36,16000,0.71,800,1
8296636,3.7e-2,1.4e4,3.9e2,1.4e0,31,27,20000,1.4,390,2
8302206,9.9e-4,1.4e5,1.2e2,1.2e0,35,20,27000,1.5,360,3
8319806,1.4e-5,5.3e3,2.0e1,3.6e-3,734,19,35000,1.8,360,4
8165762,4.6e-4,2.5e4,5.8e1,2.0e-1,104,61,3100,0.79,230,5
8302179,4.0e-4,4.1e4,3.1e1,5.4e-1,66,58,5300,1.4,220,6
8121102,4.4e-4,3.3e4,2.3e2,6.3e-2,187,36,4900,0.98,180,7
8276859,7.6e-5,2.2e5,6.0e1,2.8e-1,91,14,40000,3.2,170,8
8149581,5.1e-4,1.6e4,2.1e1,3.9e-1,79,36,5600,1.2,170,9
8244356,6.5e-5,4.2e4,4.2e0,6.5e-1,50,12,40000,2.9,170,10
8246562,5.4e-3,1.9e6,1.9e2,5.4e1,9,8.1,40000,4.6,71,25
8325576,6.9e3,6.0e5,2.3e5,1.8e4,3,14,2400,2.8,12,128
8280370,4.4e-3,4.7e5,1.6e1,1.3e2,8,2.2,40000,10,8.2,171
8276346,9.8e-1,9.6e3,2.4e2,3.9e2,10,13,830,2.1,4.9,267
8161406,1.5e-2,4.6e4,3.0e0,2.3e2,5,3.2,2700,4.5,1.9,520
8325781,7.6e0,3.7e4,1.3e3,2.2e2,6,6.2,600,2.7,1.4,630
8182003,2.8e0,4.7e6,7.8e3,1.7e3,4,1.9,1600,7.2,0.43,1113
8328013,1.5e0,1.0e9,9.5e2,1.6e6,2,0.47,40000,67,0.28,1301
8316501,9.3e0,7.6e3,3.5e2,2.0e2,7,49,1,1.2,0.041,2200
8295863,1.3e0,5.9e9,4.8e3,1.7e6,1,0.058,40000,120,0.019,2410
8083868,1.1e-5,19,2.1,1.0e-4,2241,55,85,0.98,4.7,276
8216857,9.9e-1,83,8800,9.3e-3,474,78,56,0.94,4.7,278
8165707,8.1e-5,120,5.7,1.7e-3,1005,59,98,1.3,4.4,290
8285996,6.6e-5,39,32,8.1e-5,2304,69,82,1.3,4.2,298
8133653,1.1e-2,360,170,2.3e-2,311,54,77,1.1,3.8,313